"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"99400156503","Restaurant Maur *Muntaner","#","C","Muntaner","121","121","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.389713","2.155162","429367.642","4582364.719","429459.565","4582565.656","934548869","#","","01/01","31/12","0000000","20:00:00","23:59:00"," ",
"99400156503","Restaurant Maur *Muntaner","#","C","Muntaner","121","121","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.389713","2.155162","429367.642","4582364.719","429459.565","4582565.656","934548869","#","","01/01","31/12","0000000","13:00:00","16:00:00"," ",
"99400156747","Restaurant Sedna","#","Pg","Colom","5","5","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.38073","2.181239","431538.389","4581346.468","431630.332","4581547.396","932689372","#","","01/01","31/12","1000000","11:30:00","23:30:00"," ",
"99400156760","Restaurant El Filferro","#","C","Sant Carles","29","29","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.379647","2.191306","432379.091","4581218.349","432471.042","4581419.276","932219836","#","","01/01","31/12","1000000","10:00:00","01:00:00"," ",
"99400156770","Restaurant Can Vallés","#","C","Aragó","95","95","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.38204","2.151219","429029.625","4581516.088","429121.545","4581717.017","932260667","#","","01/01","31/12","0000001","21:00:00","23:00:00"," ",
"99400156770","Restaurant Can Vallés","#","C","Aragó","95","95","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.38204","2.151219","429029.625","4581516.088","429121.545","4581717.017","932260667","#","","01/01","31/12","0000001","13:30:00","16:00:00"," ",
"99400156777","Restaurant Sense Pressa","#","C","Enric Granados","96","96","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.393212","2.155457","429396.138","4582752.915","429488.061","4582953.856","932181544","#","","01/01","31/12","1000001","13:30:00",""," ",
"99400156777","Restaurant Sense Pressa","#","C","Enric Granados","96","96","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.393212","2.155457","429396.138","4582752.915","429488.061","4582953.856","932181544","#","","01/01","31/12","1000001","15:30:00",""," ",
"99400156777","Restaurant Sense Pressa","#","C","Enric Granados","96","96","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.393212","2.155457","429396.138","4582752.915","429488.061","4582953.856","932181544","#","","01/01","31/12","1000001","21:00:00","23:30:00"," ",
"99400156777","Restaurant Sense Pressa","#","C","Enric Granados","96","96","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.393212","2.155457","429396.138","4582752.915","429488.061","4582953.856","932181544","#","","01/01","31/12","0111111","13:00:00","15:30:00"," ",
"99400157158","Hotel Astoria - HB-000017","Restaurant Astor","C","París","203","203","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.394","2.153531","429235.936","4582841.95","429327.857","4583042.891","932098311","#","","01/01","31/12","0000011","13:30:00","15:30:00"," ",
"99400158442","Restaurant Panqa","#","C","Sepúlveda","76","78","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.378284","2.156138","429436.918","4581095.011","429528.842","4581295.936","935414598","#","","01/01","31/12","1000001","13:00:00","16:00:00"," ",
"99400158442","Restaurant Panqa","#","C","Sepúlveda","76","78","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.378284","2.156138","429436.918","4581095.011","429528.842","4581295.936","935414598","#","","01/01","31/12","1000001","20:00:00","23:59:00"," ",
